"playlist_subgenre","Count","playlist_genre"
"big room",1206,"edm"
"electro house",1511,"edm"
"pop edm",1517,"edm"
"progressive electro house",1809,"edm"
"latin hip hop",1656,"latin"
"latin pop",1262,"latin"
"reggaeton",949,"latin"
"tropical",1288,"latin"
"dance pop",1298,"pop"
"electropop",1408,"pop"
"indie poptimism",1672,"pop"
"post-teen pop",1129,"pop"
"hip pop",1256,"rnb"
"neo soul",1637,"rnb"
"new jack swing",1133,"rnb"
"urban contemporary",1405,"rnb"
"gangster rap",1458,"rap"
"hip hop",1322,"rap"
"southern hip hop",1675,"rap"
"trap",1291,"rap"
"album rock",1065,"rock"
"classic rock",1296,"rock"
"hard rock",1485,"rock"
"permanent wave",1105,"rock"
